Código,Fundo,Data,Cota,Variação,Captação,Resgate,PL,Cotistas
33293,1421 FUNDO DE INVESTIMENTO DE AÇÕES INVESTIMENTO NO EXTERIOR,26/04/2018,"3,7506403","0,58%","R$ 0,00","R$ 0,00","R$ 15.223.323,83",5
33293,1421 FUNDO DE INVESTIMENTO DE AÇÕES INVESTIMENTO NO EXTERIOR,25/04/2018,"3,7288977","0,21%","R$ 0,00","R$ 0,00","R$ 15.135.073,63",5
33293,1421 FUNDO DE INVESTIMENTO DE AÇÕES INVESTIMENTO NO EXTERIOR,24/04/2018,"3,721149","-0,13%","R$ 0,00","R$ 0,00","R$ 15.103.622,79",5
33293,1421 FUNDO DE INVESTIMENTO DE AÇÕES INVESTIMENTO NO EXTERIOR,23/04/2018,"3,7258613","0,01%","R$ 0,00","R$ 0,00","R$ 15.122.749,38",5
33293,1421 FUNDO DE INVESTIMENTO DE AÇÕES INVESTIMENTO NO EXTERIOR,20/04/2018,"3,7254449","-0,30%","R$ 0,00","R$ 0,00","R$ 15.121.059,22",5
33293,1421 FUNDO DE INVESTIMENTO DE AÇÕES INVESTIMENTO NO EXTERIOR,19/04/2018,"3,7365538","-0,22%","R$ 0,00","R$ 0,00","R$ 15.166.148,83",5
33293,1421 FUNDO DE INVESTIMENTO DE AÇÕES INVESTIMENTO NO EXTERIOR,18/04/2018,"3,7447397","0,89%","R$ 0,00","R$ 0,00","R$ 15.199.374,30",5
33293,1421 FUNDO DE INVESTIMENTO DE AÇÕES INVESTIMENTO NO EXTERIOR,17/04/2018,"3,7116455","0,67%","R$ 0,00","R$ 0,00","R$ 15.065.049,59",5
33293,1421 FUNDO DE INVESTIMENTO DE AÇÕES INVESTIMENTO NO EXTERIOR,16/04/2018,"3,6870181","-1,27%","R$ 0,00","R$ 0,00","R$ 14.965.090,25",5
33293,1421 FUNDO DE INVESTIMENTO DE AÇÕES INVESTIMENTO NO EXTERIOR,13/04/2018,"3,7346143","-0,69%","R$ 0,00","R$ 0,00","R$ 15.158.276,59",5
33293,1421 FUNDO DE INVESTIMENTO DE AÇÕES INVESTIMENTO NO EXTERIOR,12/04/2018,"3,760465","0,40%","R$ 0,00","R$ 0,00","R$ 15.263.200,97",5
33293,1421 FUNDO DE INVESTIMENTO DE AÇÕES INVESTIMENTO NO EXTERIOR,11/04/2018,"3,7453719","0,15%","R$ 0,00","R$ 0,00","R$ 15.201.940,11",5
33293,1421 FUNDO DE INVESTIMENTO DE AÇÕES INVESTIMENTO NO EXTERIOR,10/04/2018,"3,7398509","0,48%","R$ 0,00","R$ 0,00","R$ 15.179.531,18",5
33293,1421 FUNDO DE INVESTIMENTO DE AÇÕES INVESTIMENTO NO EXTERIOR,09/04/2018,"3,7221577","-1,30%","R$ 0,00","R$ 0,00","R$ 15.107.717,12",5
33293,1421 FUNDO DE INVESTIMENTO DE AÇÕES INVESTIMENTO NO EXTERIOR,06/04/2018,"3,7713154","-0,38%","R$ 0,00","R$ 0,00","R$ 15.307.241,24",5
33293,1421 FUNDO DE INVESTIMENTO DE AÇÕES INVESTIMENTO NO EXTERIOR,05/04/2018,"3,7858442","0,80%","R$ 0,00","R$ 0,00","R$ 15.366.211,55",5
33293,1421 FUNDO DE INVESTIMENTO DE AÇÕES INVESTIMENTO NO EXTERIOR,04/04/2018,"3,7558785","-0,01%","R$ 0,00","R$ 0,00","R$ 15.244.585,00",5
33293,1421 FUNDO DE INVESTIMENTO DE AÇÕES INVESTIMENTO NO EXTERIOR,03/04/2018,"3,7563984","-0,08%","R$ 0,00","R$ 0,00","R$ 15.246.695,34",5
33293,1421 FUNDO DE INVESTIMENTO DE AÇÕES INVESTIMENTO NO EXTERIOR,02/04/2018,"3,7592964","-0,94%","R$ 0,00","R$ 0,00","R$ 15.258.457,71",5
33293,1421 FUNDO DE INVESTIMENTO DE AÇÕES INVESTIMENTO NO EXTERIOR,29/03/2018,"3,7947794","1,00%","R$ 0,00","R$ 0,00","R$ 15.402.478,43",5
33293,1421 FUNDO DE INVESTIMENTO DE AÇÕES INVESTIMENTO NO EXTERIOR,28/03/2018,"3,7572222","-0,17%","R$ 0,00","R$ 0,00","R$ 15.250.038,81",5
33293,1421 FUNDO DE INVESTIMENTO DE AÇÕES INVESTIMENTO NO EXTERIOR,27/03/2018,"3,7635319","-0,96%","R$ 0,00","R$ 0,00","R$ 15.275.649,38",5
33293,1421 FUNDO DE INVESTIMENTO DE AÇÕES INVESTIMENTO NO EXTERIOR,26/03/2018,"3,7999412","0,36%","R$ 0,00","R$ 0,00","R$ 15.423.429,51",5
33293,1421 FUNDO DE INVESTIMENTO DE AÇÕES INVESTIMENTO NO EXTERIOR,23/03/2018,"3,7862181","-0,86%","R$ 0,00","R$ 0,00","R$ 15.367.729,17",5
33293,1421 FUNDO DE INVESTIMENTO DE AÇÕES INVESTIMENTO NO EXTERIOR,22/03/2018,"3,8188758","0,05%","R$ 0,00","R$ 0,00","R$ 15.500.282,30",5
