Código,Fundo,Data,Cota,Variação,Captação,Resgate,PL,Cotistas
16689,101 AGGREGA FUNDO DE INVESTIMENTO RENDA FIXA CAIXA CRÉDITO PRIVADO,06/03/2017,"1,93002965","0,02%","R$ 0,00","R$ 0,00","R$ 3.597.077,36",1
16689,101 AGGREGA FUNDO DE INVESTIMENTO RENDA FIXA CAIXA CRÉDITO PRIVADO,03/03/2017,"1,92973636","0,02%","R$ 0,00","R$ 0,00","R$ 3.596.530,75",1
16689,101 AGGREGA FUNDO DE INVESTIMENTO RENDA FIXA CAIXA CRÉDITO PRIVADO,02/03/2017,"1,92944361","0,02%","R$ 0,00","R$ 0,00","R$ 3.595.985,14",2
16689,101 AGGREGA FUNDO DE INVESTIMENTO RENDA FIXA CAIXA CRÉDITO PRIVADO,01/03/2017,"1,92915128","-0,01%","R$ 0,00","R$ 0,00","R$ 3.595.440,30",2
16689,101 AGGREGA FUNDO DE INVESTIMENTO RENDA FIXA CAIXA CRÉDITO PRIVADO,24/02/2017,"1,92934573","2,62%","R$ 0,00","R$ 35.000,00","R$ 3.595.802,70",2
16689,101 AGGREGA FUNDO DE INVESTIMENTO RENDA FIXA CAIXA CRÉDITO PRIVADO,23/02/2017,"1,8801275","0,03%","R$ 0,00","R$ 0,00","R$ 3.538.179,76",2
16689,101 AGGREGA FUNDO DE INVESTIMENTO RENDA FIXA CAIXA CRÉDITO PRIVADO,22/02/2017,"1,87954588","-2,52%","R$ 0,00","R$ 0,00","R$ 3.537.085,23",2
16689,101 AGGREGA FUNDO DE INVESTIMENTO RENDA FIXA CAIXA CRÉDITO PRIVADO,21/02/2017,"1,92814791","0,03%","R$ 0,00","R$ 0,00","R$ 3.535.991,80",2
16689,101 AGGREGA FUNDO DE INVESTIMENTO RENDA FIXA CAIXA CRÉDITO PRIVADO,20/02/2017,"1,92755222","0,03%","R$ 0,00","R$ 0,00","R$ 3.534.899,38",2
16689,101 AGGREGA FUNDO DE INVESTIMENTO RENDA FIXA CAIXA CRÉDITO PRIVADO,17/02/2017,"1,9269572","0,03%","R$ 0,00","R$ 0,00","R$ 3.533.808,18",2
16689,101 AGGREGA FUNDO DE INVESTIMENTO RENDA FIXA CAIXA CRÉDITO PRIVADO,16/02/2017,"1,92636281","0,03%","R$ 0,00","R$ 0,00","R$ 3.532.718,14",2
16689,101 AGGREGA FUNDO DE INVESTIMENTO RENDA FIXA CAIXA CRÉDITO PRIVADO,15/02/2017,"1,92576669","0,03%","R$ 0,00","R$ 0,00","R$ 3.531.624,93",2
16689,101 AGGREGA FUNDO DE INVESTIMENTO RENDA FIXA CAIXA CRÉDITO PRIVADO,14/02/2017,"1,92521791","0,03%","R$ 0,00","R$ 0,00","R$ 3.530.618,53",2
16689,101 AGGREGA FUNDO DE INVESTIMENTO RENDA FIXA CAIXA CRÉDITO PRIVADO,13/02/2017,"1,92462301","0,03%","R$ 0,00","R$ 0,00","R$ 3.529.527,56",2
16689,101 AGGREGA FUNDO DE INVESTIMENTO RENDA FIXA CAIXA CRÉDITO PRIVADO,10/02/2017,"1,92412643","-0,49%","R$ 0,00","R$ 0,00","R$ 3.528.616,88",2
16689,101 AGGREGA FUNDO DE INVESTIMENTO RENDA FIXA CAIXA CRÉDITO PRIVADO,09/02/2017,"1,93361214","0,03%","R$ 0,00","R$ 0,00","R$ 3.546.012,54",2
16689,101 AGGREGA FUNDO DE INVESTIMENTO RENDA FIXA CAIXA CRÉDITO PRIVADO,08/02/2017,"1,93310076","0,08%","R$ 0,00","R$ 0,00","R$ 3.545.074,73",2
16689,101 AGGREGA FUNDO DE INVESTIMENTO RENDA FIXA CAIXA CRÉDITO PRIVADO,07/02/2017,"1,93156601","0,03%","R$ 0,00","R$ 24.000,00","R$ 3.542.260,18",2
16689,101 AGGREGA FUNDO DE INVESTIMENTO RENDA FIXA CAIXA CRÉDITO PRIVADO,06/02/2017,"1,93104872","0,02%","R$ 0,00","R$ 0,00","R$ 3.565.305,10",2
16689,101 AGGREGA FUNDO DE INVESTIMENTO RENDA FIXA CAIXA CRÉDITO PRIVADO,03/02/2017,"1,93063155","0,09%","R$ 0,00","R$ 0,00","R$ 3.564.534,89",2
16689,101 AGGREGA FUNDO DE INVESTIMENTO RENDA FIXA CAIXA CRÉDITO PRIVADO,02/02/2017,"1,9289376","-0,03%","R$ 0,00","R$ 0,00","R$ 3.561.407,33",2
